label,variance,skewness,curtosis,entropy
1,5.0214,8.0764,-3.0515,-1.7155
1,-1.5055,0.070346,6.8681,-0.50648
-1,-2.2804,-0.30626,1.3347,1.3763
-1,0.2952,4.8856,-5.149,-6.2323
1,-0.36038,4.1158,3.1143,-0.37199
1,3.2704,6.9321,-1.0456,0.23447
1,-1.3,10.2678,-2.953,-5.8638
1,2.0421,1.2436,4.2171,0.90429
1,3.5912,3.0129,0.72888,0.56421
-1,-3.0193,1.7775,0.73745,-0.45346
-1,1.208,4.0744,-4.7635,-2.6129
-1,-4.0218,-8.304,12.555,-1.5099
-1,-5.0301,7.5032,-0.13396,-7.5034
-1,0.24394,1.4733,-1.4192,-0.58535
1,2.8237,2.8597,0.19678,0.57196
-1,-0.41645,0.32487,-0.33617,-0.36036
-1,-1.8187,-9.0366,9.0162,-0.12243
1,5.7867,7.8902,-2.6196,-0.48708
-1,1.3518,1.0595,-2.3437,0.39998
-1,-1.7101,-8.7903,7.9735,-0.45475
1,4.2164,9.4607,-4.9288,-5.2366
-1,-6.3679,8.0102,0.4247,-3.2207
1,4.4549,2.4976,1.0313,0.96894
-1,-2.9662,-10.3257,8.784,-2.1138
1,2.9695,5.6222,0.27561,-1.1556
-1,-0.59587,2.4811,-2.8673,-0.89828
-1,0.518,0.25865,-0.84085,0.96118
1,4.988,7.2052,-3.2846,-1.1608
-1,-2.0066,-6.719,9.0162,0.099985
1,-1.0401,9.3987,0.85998,-5.3336
1,-0.016103,9.7484,0.15394,-1.6134
1,-0.33729,-0.64976,7.6659,0.72326
-1,-0.46651,2.3383,-2.9812,-1.0431
1,2.4226,-4.5752,5.947,0.21507
-1,-0.86339,1.9348,-2.3729,-1.0897
-1,-0.11716,0.60422,-0.38587,-0.059065
-1,-2.564,-1.7051,1.5026,0.32757
1,3.1557,2.8908,0.59693,0.79825
-1,-1.749,-6.332,6.0987,0.14266
-1,-1.5228,-6.4789,5.7568,0.87325
-1,-4.244,-13.0634,17.1116,-2.8017
1,3.6575,7.2797,-2.2692,-1.144
1,1.9321,6.0423,0.26019,-2.053
-1,-0.23356,3.2405,-3.0669,-2.7784
1,1.7748,-0.76978,5.5854,1.3039
-1,0.74428,-3.7723,1.6131,1.5754
-1,-1.4106,-7.108,5.6454,0.31335
1,0.5706,-0.0248,1.2421,-0.5621
-1,1.4501,3.6067,-4.0557,-1.5966
-1,-1.4446,2.1438,-0.47241,-1.6677
1,2.7391,7.4018,0.071684,-2.5302
1,4.2406,-2.4852,1.608,0.7155
-1,-3.6227,3.9958,-0.35845,-3.9047
1,0.95626,2.4728,4.4578,0.21636
1,2.2546,8.0992,-0.24877,-3.2698
1,-1.1193,10.7271,2.0938,-5.6504
1,1.1588,8.9331,-2.0807,-1.1272
